2026-07-20 21:59:16,399 [INFO] PriceChg:  +0.02% | VolRatio:  1.00 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:36,365 [INFO] PriceChg:  +0.02% | VolRatio:  3.63 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: BEARISH
2026-07-20 22:05:38,373 [INFO] PriceChg:  -0.83% | VolRatio:  2.19 | VolState: ANOMALY_HIGH | Div: STRONG_DISTRIBUTION    | CVD: BEARISH
2026-07-20 22:05:40,380 [INFO] PriceChg:  +0.03% | VolRatio:  0.73 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:42,383 [INFO] PriceChg:  +0.65% | VolRatio:  2.13 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:44,391 [INFO] PriceChg:  +0.02% | VolRatio:  2.25 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT
2026-07-20 22:05:46,395 [INFO] PriceChg:  +0.81% | VolRatio:  1.96 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:48,399 [INFO] PriceChg:  -0.01% | VolRatio:  0.56 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:50,405 [INFO] PriceChg:  +0.60% | VolRatio:  1.83 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: BULLISH
2026-07-20 22:05:52,412 [INFO] PriceChg:  +0.51% | VolRatio:  1.76 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: BULLISH
2026-07-20 22:05:54,415 [INFO] PriceChg:  -0.02% | VolRatio:  0.58 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: BULLISH
2026-07-20 22:05:56,417 [INFO] PriceChg:  -0.00% | VolRatio:  0.64 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:05:58,420 [INFO] PriceChg:  +0.90% | VolRatio:  1.73 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:00,424 [INFO] PriceChg:  -0.48% | VolRatio:  1.84 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:02,428 [INFO] PriceChg:  -0.04% | VolRatio:  0.57 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:04,432 [INFO] PriceChg:  -0.01% | VolRatio:  1.65 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: BEARISH
2026-07-20 22:06:06,435 [INFO] PriceChg:  +0.54% | VolRatio:  0.22 | VolState: DRY_OUT      | Div: WEAK_GROWTH_NO_VOLUME  | CVD: FLAT
2026-07-20 22:06:08,437 [INFO] PriceChg:  +0.90% | VolRatio:  2.01 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:10,440 [INFO] PriceChg:  -0.04% | VolRatio:  0.42 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:12,442 [INFO] PriceChg:  +0.00% | VolRatio:  2.16 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT
2026-07-20 22:06:14,446 [INFO] PriceChg:  +0.59% | VolRatio:  1.37 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:16,448 [INFO] PriceChg:  -0.02% | VolRatio:  2.36 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT
2026-07-20 22:06:18,451 [INFO] PriceChg:  -0.69% | VolRatio:  1.23 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:20,454 [INFO] PriceChg:  +0.55% | VolRatio:  1.58 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:22,456 [INFO] PriceChg:  -0.04% | VolRatio:  0.51 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:24,458 [INFO] PriceChg:  +0.47% | VolRatio:  0.20 | VolState: DRY_OUT      | Div: WEAK_GROWTH_NO_VOLUME  | CVD: FLAT
2026-07-20 22:06:26,461 [INFO] PriceChg:  +0.04% | VolRatio:  0.44 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:28,464 [INFO] PriceChg:  -0.36% | VolRatio:  0.19 | VolState: DRY_OUT      | Div: WEAK_DROP_NO_VOLUME    | CVD: FLAT
2026-07-20 22:06:30,466 [INFO] PriceChg:  -0.01% | VolRatio:  0.54 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:32,468 [INFO] PriceChg:  -0.58% | VolRatio:  1.87 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:34,472 [INFO] PriceChg:  -0.51% | VolRatio:  2.04 | VolState: ANOMALY_HIGH | Div: STRONG_DISTRIBUTION    | CVD: FLAT
2026-07-20 22:06:36,474 [INFO] PriceChg:  -0.51% | VolRatio:  0.20 | VolState: DRY_OUT      | Div: WEAK_DROP_NO_VOLUME    | CVD: FLAT
2026-07-20 22:06:38,477 [INFO] PriceChg:  -0.60% | VolRatio:  1.66 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:40,480 [INFO] PriceChg:  -0.90% | VolRatio:  1.75 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:42,484 [INFO] PriceChg:  +0.51% | VolRatio:  1.85 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:44,486 [INFO] PriceChg:  -0.00% | VolRatio:  0.50 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:46,488 [INFO] PriceChg:  +0.39% | VolRatio:  0.18 | VolState: DRY_OUT      | Div: WEAK_GROWTH_NO_VOLUME  | CVD: FLAT
2026-07-20 22:06:48,491 [INFO] PriceChg:  -0.76% | VolRatio:  1.91 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:50,495 [INFO] PriceChg:  +0.44% | VolRatio:  0.15 | VolState: DRY_OUT      | Div: WEAK_GROWTH_NO_VOLUME  | CVD: FLAT
2026-07-20 22:06:52,497 [INFO] PriceChg:  +0.77% | VolRatio:  1.72 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:54,510 [INFO] PriceChg:  -0.01% | VolRatio:  1.98 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:56,513 [INFO] PriceChg:  +0.52% | VolRatio:  1.40 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:06:58,519 [INFO] PriceChg:  +0.39% | VolRatio:  0.21 | VolState: DRY_OUT      | Div: WEAK_GROWTH_NO_VOLUME  | CVD: FLAT
2026-07-20 22:07:00,523 [INFO] PriceChg:  -0.03% | VolRatio:  0.45 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:02,528 [INFO] PriceChg:  +0.04% | VolRatio:  0.57 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:04,530 [INFO] PriceChg:  -0.02% | VolRatio:  2.24 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT
2026-07-20 22:07:06,532 [INFO] PriceChg:  -0.87% | VolRatio:  1.79 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:08,534 [INFO] PriceChg:  -0.02% | VolRatio:  0.47 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:10,539 [INFO] PriceChg:  +0.02% | VolRatio:  0.42 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:12,587 [INFO] PriceChg:  -0.02% | VolRatio:  0.58 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: BULLISH
2026-07-20 22:07:14,591 [INFO] PriceChg:  +0.90% | VolRatio:  1.54 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: BULLISH
2026-07-20 22:07:16,600 [INFO] PriceChg:  -0.00% | VolRatio:  0.41 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:18,602 [INFO] PriceChg:  +0.89% | VolRatio:  1.77 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:20,605 [INFO] PriceChg:  -0.02% | VolRatio:  1.42 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:22,608 [INFO] PriceChg:  +0.00% | VolRatio:  1.70 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT
2026-07-20 22:07:51,374 [INFO] PriceChg:  +0.04% | VolRatio:  0.93 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  -0.03% | VolRatio:  0.99 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  -0.04% | VolRatio:  0.87 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  +0.02% | VolRatio:  1.01 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  -0.03% | VolRatio:  0.93 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  +0.02% | VolRatio:  1.14 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  +0.05% | VolRatio:  0.99 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  +0.02% | VolRatio:  1.14 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  -0.01% | VolRatio:  1.15 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  -0.01% | VolRatio:  0.87 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: BEARISH_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  +0.02% | VolRatio:  0.82 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: BEARISH_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  -0.02% | VolRatio:  0.92 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:51,374 [INFO] PriceChg:  -0.05% | VolRatio:  1.06 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:53,882 [INFO] PriceChg:  +0.03% | VolRatio:  1.03 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:55,384 [INFO] PriceChg:  +0.03% | VolRatio:  0.98 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:56,887 [INFO] PriceChg:  +0.01% | VolRatio:  0.89 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:58,389 [INFO] PriceChg:  -0.01% | VolRatio:  0.89 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:07:59,891 [INFO] PriceChg:  +0.01% | VolRatio:  0.81 | VolState: DRY_OUT      | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:08:01,394 [INFO] PriceChg:  +0.04% | VolRatio:  1.05 | VolState: BASE_NORMAL  | Div: NORMAL                 | CVD: FLAT_NO_TREND
2026-07-20 22:08:04,397 [INFO] PriceChg:  +0.01% | VolRatio:  3.13 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT_NO_TREND
2026-07-20 22:08:05,910 [INFO] PriceChg:  -0.00% | VolRatio:  3.07 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: FLAT_NO_TREND
2026-07-20 22:08:07,416 [INFO] PriceChg:  -0.00% | VolRatio:  2.96 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: BEARISH_TREND
2026-07-20 22:08:08,918 [INFO] PriceChg:  +0.00% | VolRatio:  2.96 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: BEARISH_TREND
2026-07-20 22:08:10,427 [INFO] PriceChg:  +0.01% | VolRatio:  2.43 | VolState: ANOMALY_HIGH | Div: VOLUME_ABSORPTION      | CVD: BEARISH_TREND
2026-07-20 22:08:13,430 [INFO] PriceChg:  +0.55% | VolRatio:  2.19 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: FLAT_NO_TREND
2026-07-20 22:08:14,933 [INFO] PriceChg:  +0.46% | VolRatio:  2.51 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: FLAT_NO_TREND
2026-07-20 22:08:16,436 [INFO] PriceChg:  +0.63% | VolRatio:  2.28 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: FLAT_NO_TREND
2026-07-20 22:08:17,938 [INFO] PriceChg:  +0.38% | VolRatio:  2.12 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: BULLISH_TREND
2026-07-20 22:08:19,441 [INFO] PriceChg:  +0.52% | VolRatio:  2.13 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: BULLISH_TREND
2026-07-20 22:08:20,943 [INFO] PriceChg:  +0.65% | VolRatio:  1.96 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: BULLISH_TREND
2026-07-20 22:08:22,449 [INFO] PriceChg:  +0.56% | VolRatio:  2.28 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: BULLISH_TREND
2026-07-20 22:08:23,952 [INFO] PriceChg:  +0.40% | VolRatio:  1.90 | VolState: ANOMALY_HIGH | Div: STRONG_ACCUMULATION    | CVD: BULLISH_TREND
